Hugo_Symbol,SEQ_ASSAY_ID
ARID1B,VICC-01-R2
ARNT,VICC-01-R2
AR,VICC-01-R2
ASXL1,VICC-01-R2
ATF1,VICC-01-R2
ATG5,VICC-01-R2
ATIC,VICC-01-R2
ATM,VICC-01-R2
ATR,VICC-01-R2
ATXN1,VICC-01-R2
AURKA,VICC-01-R2
AURKB,VICC-01-R2
AXL,VICC-01-R2
B3GAT1,VICC-01-R2
BAALC,VICC-01-R2
BAP1,VICC-01-R2
BCL10,VICC-01-R2
BCL11A,VICC-01-R2
BCL11B,VICC-01-R2
BCL2,VICC-01-R2
BCL3,VICC-01-R2
BCL6,VICC-01-R2
BCL7A,VICC-01-R2
BCL9,VICC-01-R2
BCOR,VICC-01-R2
BCR,VICC-01-R2
BIRC3,VICC-01-R2
BIRC5,VICC-01-R2
BRAF,VICC-01-R2
BRCA1,VICC-01-R2
BRCA2,VICC-01-R2
BTG1,VICC-01-R2
BTK,VICC-01-R2
C15orf65,VICC-01-R2
C21orf33,VICC-01-R2
CAMTA1,VICC-01-R2
CARS,VICC-01-R2
CASP3,VICC-01-R2
CBFA2T3,VICC-01-R2
CBFB,VICC-01-R2
CBL,VICC-01-R2
CCL2,VICC-01-R2
CCND1,VICC-01-R2
CCND2,VICC-01-R2
CCND3,VICC-01-R2
CCNE1,VICC-01-R2
CD14,VICC-01-R2
CD19,VICC-01-R2
CD1A,VICC-01-R2
CD22,VICC-01-R2
CD247,VICC-01-R2
CD274,VICC-01-R2
CD28,VICC-01-R2
CD2,VICC-01-R2
CD33,VICC-01-R2
CD34,VICC-01-R2
CD38,VICC-01-R2
CD3D,VICC-01-R2
CD3E,VICC-01-R2
CD3G,VICC-01-R2
CD4,VICC-01-R2
CD5,VICC-01-R2
CD6,VICC-01-R2
CD70,VICC-01-R2
CD79A,VICC-01-R2
CD79B,VICC-01-R2
CD7,VICC-01-R2
CD80,VICC-01-R2
CD86,VICC-01-R2
CD8A,VICC-01-R2
CD8B,VICC-01-R2
CDA,VICC-01-R2
CDC73,VICC-01-R2
CDH1,VICC-01-R2
CDK4,VICC-01-R2
CDK6,VICC-01-R2
CDK8,VICC-01-R2
CDKN1A,VICC-01-R2
CDKN1B,VICC-01-R2
CDKN1C,VICC-01-R2
CDKN2A,VICC-01-R2
CDX2,VICC-01-R2
CEACAM1,VICC-01-R2
CHIC2,VICC-01-R2
CHN1,VICC-01-R2
CHTOP,VICC-01-R2
CIC,VICC-01-R2
CIITA,VICC-01-R2
CKS1B,VICC-01-R2
CLP1,VICC-01-R2
CLTCL1,VICC-01-R2
CLTC,VICC-01-R2
CNTRL,VICC-01-R2
COL1A1,VICC-01-R2
COX5A,VICC-01-R2
CR2,VICC-01-R2
CRBN,VICC-01-R2
CREB3L1,VICC-01-R2
CREB3L2,VICC-01-R2
CREBBP,VICC-01-R2
CRKL,VICC-01-R2
CRLF2,VICC-01-R2
CSF1R,VICC-01-R2
CSF1,VICC-01-R2
CSF3R,VICC-01-R2
CTLA4,VICC-01-R2
CTNNB1,VICC-01-R2
CTNND1,VICC-01-R2
CTSD,VICC-01-R2
CXCR4,VICC-01-R2
DDIT3,VICC-01-R2
DDR1,VICC-01-R2
DDX10,VICC-01-R2
DDX3Y,VICC-01-R2
DDX6,VICC-01-R2
DEK,VICC-01-R2
DLEU2,VICC-01-R2
DNMT3A,VICC-01-R2
DUSP22,VICC-01-R2
EGFR,VICC-01-R2
EGF,VICC-01-R2
EIF4A2,VICC-01-R2
ELF4,VICC-01-R2
ELL,VICC-01-R2
ELN,VICC-01-R2
EML4,VICC-01-R2
EP300,VICC-01-R2
EPHA7,VICC-01-R2
EPOR,VICC-01-R2
EPS15,VICC-01-R2
ERBB2,VICC-01-R2
ERCC1,VICC-01-R2
ERG,VICC-01-R2
ESR1,VICC-01-R2
ETS1,VICC-01-R2
ETV1,VICC-01-R2
ETV4,VICC-01-R2
ETV5,VICC-01-R2
ETV6,VICC-01-R2
EWSR1,VICC-01-R2
FBL,VICC-01-R2
FBXW7,VICC-01-R2
FCER2,VICC-01-R2
FCGR2B,VICC-01-R2
FCGR3A,VICC-01-R2
FCGR3B,VICC-01-R2
FCRL4,VICC-01-R2
FEV,VICC-01-R2
FGFR1OP,VICC-01-R2
FGFR1,VICC-01-R2
FGFR2,VICC-01-R2
FGFR3,VICC-01-R2
FGFR4,VICC-01-R2
FLI1,VICC-01-R2
FLT1,VICC-01-R2
FLT3,VICC-01-R2
FNBP1,VICC-01-R2
FOS,VICC-01-R2
FOXO1,VICC-01-R2
FOXO3,VICC-01-R2
FOXO4,VICC-01-R2
FOXP1,VICC-01-R2
FSTL3,VICC-01-R2
FUS,VICC-01-R2
FUT4,VICC-01-R2
GAPDH,VICC-01-R2
GAS1,VICC-01-R2
GAS7,VICC-01-R2
GLI1,VICC-01-R2
GLIS2,VICC-01-R2
GMPS,VICC-01-R2
GOT2,VICC-01-R2
GPHN,VICC-01-R2
GUSB,VICC-01-R2
HDAC4,VICC-01-R2
HERPUD1,VICC-01-R2
HEY1,VICC-01-R2
HGF,VICC-01-R2
HGS,VICC-01-R2
HIF1A,VICC-01-R2
HIP1,VICC-01-R2
HIST1H4I,VICC-01-R2
HLA-DRA,VICC-01-R2
HLA-DRB1,VICC-01-R2
HLF,VICC-01-R2
HMGA1,VICC-01-R2
HMGA2,VICC-01-R2
HOXA11,VICC-01-R2
HOXA13,VICC-01-R2
HOXA3,VICC-01-R2
HOXA9,VICC-01-R2
HOXC11,VICC-01-R2
HOXC13,VICC-01-R2
HOXD11,VICC-01-R2
HOXD13,VICC-01-R2
HPRT1,VICC-01-R2
HSP90AA1,VICC-01-R2
HSP90AB1,VICC-01-R2
IFI27,VICC-01-R2
IGF1R,VICC-01-R2
IGLL5,VICC-01-R2
IKZF1,VICC-01-R2
IKZF3,VICC-01-R2
IL21R,VICC-01-R2
IL2RA,VICC-01-R2
IL3,VICC-01-R2
IL4,VICC-01-R2
IL6,VICC-01-R2
INSR,VICC-01-R2
IRF4,VICC-01-R2
ITGA2B,VICC-01-R2
ITGAE,VICC-01-R2
ITGAL,VICC-01-R2
ITGAM,VICC-01-R2
ITGAX,VICC-01-R2
ITGB3,VICC-01-R2
ITK,VICC-01-R2
JAK1,VICC-01-R2
JAK2,VICC-01-R2
JAK3,VICC-01-R2
JAZF1,VICC-01-R2
KAT6A,VICC-01-R2
KDM4C,VICC-01-R2
KDM5A,VICC-01-R2
KDM5D,VICC-01-R2
KDR,VICC-01-R2
KDSR,VICC-01-R2
KIF5B,VICC-01-R2
KIT,VICC-01-R2
KLK3,VICC-01-R2
KMT2A,VICC-01-R2
KRAS,VICC-01-R2
KRT20,VICC-01-R2
LASP1,VICC-01-R2
LCK,VICC-01-R2
LCP1,VICC-01-R2
LDHA,VICC-01-R2
LEF1,VICC-01-R2
LMO1,VICC-01-R2
LMO2,VICC-01-R2
LPP,VICC-01-R2
LRP1,VICC-01-R2
LTBP4,VICC-01-R2
LTK,VICC-01-R2
LYL1,VICC-01-R2
M6PR,VICC-01-R2
MAF,VICC-01-R2
MAGEA5,VICC-01-R2
MALT1,VICC-01-R2
MAP3K7,VICC-01-R2
MAPT,VICC-01-R2
